,Name,Email ID,Bank ID,Age,Location,Music preference,Risk,Net worth,Investment goals,Income per annum,Favorite Songs
0,Brian Jones,nmartinez@example.org,BID91404,29,"Jeremychester, Colorado",samba,High,$361070,Retirement savings,$47599,"Samba Da Minha Terra - Live At Carnegie Hall/1964, Samba De Uma Nota So, Samba"
1,Marissa Turner,donna50@example.net,BID80640,21,"Port Roberttown, Wyoming",dance,Low,$130845,Travel,$84842,"Dance With You, dance!, dance! - sped up vers"
2,Amanda Bauer,joseph22@example.org,BID60260,22,"Mccoyland, Tennessee",acoustic,High,$311403,Travel,$49208,"Point of View, What Do You Mean? - Acoustic, Push On"
3,Rebecca Cunningham,navila@example.net,BID31798,55,"Stevenmouth, Nevada",industrial,High,$235352,Retirement savings,$93776,"INDUSTRIAL, The Industrial Revolution (And How It Ruined My Life), Industrial Disease"
4,Alex Martinez,gomezbrittany@example.org,BID66180,34,"East Dylanmouth, Texas",work-out,High,$166286,Child's education,$66625,"It'll All Work Out (Bonus Track), The New Workout Plan, work out"
5,Eric Rivera,wjames@example.org,BID82385,50,"Gregoryfurt, Montana",kids,Low,$412036,Child's education,$64204,"Kids Turned Out Fine, Kids, Kids Sleep Better with Brown Noise"
6,Elijah Wolf,zmartinez@example.com,BID61069,50,"Harveyland, New Hampshire",alt-rock,High,$115027,Travel,$69865,"Ghostlove (2nd Movement), Outside Woman Blues, Ghosterture"
7,Carolyn Beard,annrodriguez@example.net,BID65727,52,"Fieldsstad, Ohio",rock-n-roll,High,$269711,Child's education,$62963,"Rock N Roll Is Dead, Rock 'N' Roll, West Coast"
8,Matthew David,garybates@example.org,BID76621,64,"Contrerasland, North Carolina",romance,Low,$123300,Retirement savings,$34104,"ロマンス宣言, Romance/Love Me(Sped Up), Romance No 2 'Normandie'"
9,Matthew Rodriguez,cherryjonathan@example.com,BID17877,60,"Derekborough, Virginia",death-metal,High,$226370,Travel,$58419,"Boogie Feet (feat. Eagles of Death Metal), D>E>A>T>H>M>E>T>A>L_R>O>T, Death Metal"
10,Steven Moore,sandy46@example.org,BID87547,40,"East Jeffrey, Idaho",edm,High,$318277,Travel,$28345,"Fous - Edmofo Remix, Edmore, Edm"
11,Carlos Anderson,wileyanna@example.org,BID33813,41,"Harrisview, Michigan",study,Low,$444025,Retirement savings,$68568,"Studying Lofi Beats, Study Music for Focus (Alpha Waves), Study Focus Loop Noise (Loopable no fade)"
12,John Jones,edward61@example.org,BID98481,39,"East Charlesmouth, Connecticut",indie,Low,$90360,Travel,$73073,"170CM from Think Indie, RICH, Indie Rokkers"
13,Mr. Steve Johnson,bbowman@example.com,BID64041,51,"Tammyfurt, Illinois",sad,Low,$497175,Travel,$55258,"Saddy Daddy-O, Sadderdaze, Sad But True (Remastered)"
14,Dakota Foster,ericmitchell@example.org,BID81690,35,"Derrickhaven, Iowa",garage,High,$378262,Travel,$44604,"Garage Rapper, Denny's Garage, Garage Music"
15,Miss Carrie Jones,jamesglass@example.com,BID30542,45,"South April, Arizona",black-metal,High,$138704,Child's education,$36978,"Satanic Black Metal in Hell, Unholy Black Metal - Studio, Black Metallic"
16,Madison Williams,santosmatthew@example.net,BID40340,18,"North Peggyborough, Nevada",forro,High,$120400,Travel,$29109,"Forro, Forrózin Posso Te Empurrar, Forrowest"
17,Gwendolyn Cruz,tyronehuber@example.org,BID50400,41,"Kristentown, Maine",trance,Low,$42676,Child's education,$90538,"trance - sped up + reverb, Trance (TikTok Version) [I move so far in time], trance x i know - sped up + reverb"
18,Tara Young,michael55@example.net,BID86138,62,"New Gregghaven, Maryland",romance,Low,$264869,Retirement savings,$70937,"romance, BLEED (RUNAWAY), Romance The Rain"
19,Charles Taylor,dfuller@example.net,BID61058,53,"Nicholasfurt, Maine",classical,High,$317522,Travel,$62415,"Brandenburg Concerto No. 3 in G Major, BWV 1048: III. Allegro, Suite bergamasque, L. 75: III. Clair de lune, Classical"
20,Rachel Torres,alee@example.com,BID28133,47,"Kristenland, Maryland",sad,Low,$103630,Travel,$59752,"Dead and Cold, Locksmith, Sad Song (feat. Elena Coats)"
21,Amanda Lee,smithmaria@example.net,BID10208,18,"Heatherbury, Missouri",power-pop,Low,$97030,Travel,$66156,"Moon!! (Avec Avec Moonlight Power Pop Re-Arrange), Physical, YOU & I"
22,Beth Cobb,robert83@example.org,BID46384,57,"North Marybury, Massachusetts",industrial,High,$79251,Buy a new house,$52302,"Industrial Environment, Industry, Industrial Fan (1 Hour White Noise)"
23,Tiffany Branch,nhaynes@example.org,BID20738,22,"Port David, Texas",happy,Low,$119856,Retirement savings,$86212,"Happy Xmas (War Is Over) - Remastered 2010, My Happy Song, Happy Man"
24,Rebecca Padilla,sharonrodriguez@example.net,BID83836,29,"Larryfurt, South Dakota",children,High,$91941,Child's education,$46850,"Children's March, ""Over the Hills and Far Away"", Children of Children, Living Dead Beat"
25,Michael Nguyen,miguel39@example.com,BID15897,41,"Connorbury, Utah",death-metal,High,$50398,Child's education,$55507,"Boogie Feet (feat. Eagles of Death Metal), Let 'Em Talk (feat. Eagles of Death Metal), Creeping Death (Remastered)"
26,Randy Green,christine12@example.org,BID28501,61,"Rochaside, Delaware",study,High,$217547,Retirement savings,$47641,"Study Music, Study Sessions One Reason, study"
27,Lucas Sherman,josephwilliams@example.org,BID31267,52,"West Joseph, Iowa",anime,High,$163755,Buy a new house,$79601,"ANIME SAGA ENDING, HENTAI GODDE$$, ANIME"
28,Terry Hunter,psmith@example.net,BID23020,46,"South Corey, Kentucky",country,High,$383892,Buy a new house,$39094,"Alcoholic, You Me + Country Song, Take Me Home, Country Roads - Original Version"
29,Michael Cardenas,bradley23@example.com,BID27700,41,"Hendersonmouth, Iowa",summer,High,$289586,Child's education,$89900,"Grave, Summer Rain, Summer Of '69"
30,Kimberly Ibarra,vincent53@example.org,BID79358,23,"Gregoryfurt, Wisconsin",trance,High,$72779,Retirement savings,$97449,"Trance: Trance 4, Till The Sky Falls Down, Trance x I Know - Remix"
31,Kelli Casey,gilmorejason@example.com,BID27835,35,"Contrerasview, Michigan",rockabilly,High,$405218,Child's education,$87164,"Rockabilly Banjo, Rockabilly Impending Deathfuture, Rockabilly Music"
32,Colleen Young,lauratorres@example.org,BID44059,21,"Buchananview, Indiana",party,Low,$215220,Retirement savings,$65611,"PartyIsntOver/Campfire/Bimmer (feat. Frank Ocean & Laetitia Sadier), The Party & The After Party, PARTY ALL NIGHT!"
33,Sherry Huff,april84@example.net,BID77102,57,"New Davidmouth, Maryland",synth-pop,Low,$192610,Travel,$55282,"Syntetic Feell, Hey Cesar's Midi, Lesson"
34,Deborah Mccormick,castilloannette@example.org,BID96394,47,"Jenningsside, Florida",indie,High,$58239,Buy a new house,$81268,"Indie Cindy & the Lo-fi Lullabies, Indie kid, PEPE LE PEW"
35,Shelley Schmidt,lauren90@example.org,BID84078,26,"Rachelton, New York",grunge,High,$264606,Retirement savings,$21145,"Wonderwall, GRUNGE BO! X), Come As You Are"
36,Courtney Martinez,christophernorton@example.net,BID73523,43,"New Curtisville, Maryland",power-pop,Low,$457796,Child's education,$41019,"Baby Don’t Hurt Me, Fiending (Blank Out), About Damn Time"
37,Rebecca Keller,edwardsdavid@example.org,BID83322,52,"Millerfort, Washington",rock,High,$455483,Travel,$68498,"Rock Lobster, Rocket Man (I Think It's Going To Be A Long, Long Time), rocket science"
38,Richard Glover,underwooddarren@example.net,BID75950,20,"North Mariatown, Arizona",indie,Low,$258809,Child's education,$52112,"Indie Rokkers, Indie kid, HOLY SMOKE!"
39,Derek Noble,ipatel@example.com,BID23725,48,"West Sean, Colorado",romance,High,$373941,Child's education,$27318,"Romance Quinceañero, Romance Garbage, Romance"
40,Rebecca Obrien,williamskristen@example.org,BID55050,47,"Lake Jorge, Massachusetts",show-tunes,High,$197719,Travel,$72696,"My Fair Lady: I could have danced all night from My Fair Lady (1995 Digital Remaster) - 1995 Remastered Version, Phone - acoustic, Overture - From ''Les Miserables'' the Musical"
41,Dawn Brown,karen45@example.org,BID38329,46,"East Jeffery, Maryland",disco,Low,$122443,Child's education,$66210,"Disco Inferno - Edit, Discovering The World, Baby Girl"
42,Sara Harmon,uhill@example.net,BID40508,64,"Nathanview, Oregon",disco,High,$379404,Retirement savings,$62499,"Baby Girl, Disco Duck, Disconnect - Tiësto Remix"
43,Wendy Johnson,lcollins@example.net,BID65053,29,"Port Manuelside, Oklahoma",minimal-techno,Low,$340828,Retirement savings,$93415,"Dark Minimal Techno 2023, Minimal Techno - Techno Nun - Mixed by RTTWLR, Minimal Techno Live set (Dance Marathon) - Live"
44,Cassandra Hensley,pgross@example.com,BID43099,36,"East Gregoryport, Nevada",reggaeton,High,$129608,Child's education,$24110,"Dile, Champagne Rose, Reggaeton Perreo"
45,Jessica Holder,glopez@example.org,BID24231,58,"Port Adam, Kentucky",power-pop,High,$483211,Travel,$89000,"Symphony, YOU & I, Horse Power - Popof Remix"
46,Karen Anderson,taramorales@example.net,BID44564,18,"Kellyside, Mississippi",minimal-techno,Low,$447332,Retirement savings,$99215,"Tribal Movement, Minimal Techno Desires - Original Mix, Wtf Ftw"
47,Victoria Carpenter,russellhudson@example.org,BID19513,62,"Cheryltown, Florida",bossanova,High,$20651,Buy a new house,$27999,"CARRYING YOU - BossaNova version, Bossa Nova Baby (Bonus Track), Bossanova Deluxe for Feel Good Deluxe Coffeehouses"
